User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1004085,P00075742,F,26-35,6,A,1,0,8,14.0,,7803
1005491,P00234842,M,18-25,7,A,1,0,5,6.0,16.0,6903
1003499,P00220142,M,26-35,3,A,2,0,1,15.0,,15773
1000097,P00211242,F,36-45,3,C,3,0,8,12.0,,8116
1005802,P00327142,F,26-35,0,A,4+,0,8,15.0,,6144
1001912,P00276942,M,26-35,4,A,1,1,8,,,2122
1004285,P00295942,M,36-45,0,B,3,0,2,5.0,15.0,12715
1003320,P00134542,M,26-35,1,B,1,1,5,14.0,,1766
1003080,P00184942,M,26-35,20,A,4+,1,1,8.0,17.0,15837
1001194,P00111942,F,26-35,1,B,1,1,8,17.0,,10071
1001777,P00348942,M,26-35,20,C,0,0,8,13.0,,9739
1000664,P00364842,M,36-45,18,C,2,1,5,16.0,,5463
1003578,P00148642,M,51-55,3,C,0,1,6,10.0,13.0,19963
1004832,P00181542,M,26-35,14,C,1,0,11,16.0,,6049
1004041,P00197942,M,18-25,3,B,2,0,6,11.0,,12014
1004531,P00110742,M,18-25,4,C,2,0,1,2.0,8.0,15584
1003999,P00226642,M,36-45,17,B,4+,0,5,6.0,,5163
1003272,P00058242,M,36-45,0,B,1,0,3,4.0,12.0,10733
1002371,P00318742,F,36-45,7,C,2,0,1,8.0,,15851
1001244,P00352142,M,26-35,4,A,4+,1,1,6.0,16.0,15668
1001314,P00191042,F,18-25,4,C,0,0,3,4.0,,2840
1000984,P00130842,M,51-55,16,A,2,1,5,14.0,,5233
1000851,P00365242,M,18-25,4,B,1,0,5,8.0,,8680
1001910,P00297342,M,0-17,10,C,0,0,5,,,5466
1005249,P00274042,F,46-50,14,B,1,1,1,,,18959
1003243,P00142142,M,26-35,12,B,1,1,1,2.0,15.0,11913
1000166,P00220342,M,18-25,4,B,1,1,5,,,6892
1000166,P00289242,M,18-25,4,B,1,1,1,8.0,,12072
1000048,P00218742,M,26-35,4,B,3,1,5,,,3726
1004090,P00111542,M,55+,6,C,1,1,2,17.0,,15877
1003096,P00192242,F,46-50,3,C,1,1,3,4.0,5.0,8176
1005490,P00249742,M,46-50,17,C,3,0,1,15.0,18.0,11585
1000955,P00028442,F,51-55,7,B,1,1,1,8.0,16.0,11939
1003900,P00116842,F,26-35,14,B,2,1,2,5.0,8.0,15995
1003563,P00356842,M,26-35,2,A,3,0,8,16.0,,5921
1005906,P00129642,F,18-25,4,C,1,1,5,,,6994
1001113,P00351042,M,18-25,4,B,3,0,5,,,5420
1003859,P0098242,M,26-35,0,C,1,0,1,16.0,,15781
1002697,P00334242,F,51-55,17,C,3,0,1,8.0,,19349
1000999,P00019942,M,26-35,15,B,2,0,1,,,7803
1003986,P00209142,M,26-35,7,C,2,1,5,8.0,,5336
1005702,P00268442,M,18-25,0,B,4+,0,8,17.0,,9874
1005002,P00051442,M,26-35,17,B,1,1,8,17.0,,9750
1000770,P00206442,M,18-25,4,B,2,1,1,5.0,9.0,4463
1005938,P00148642,M,26-35,1,C,1,1,6,10.0,13.0,20537
1001194,P00317842,F,26-35,1,B,1,1,8,,,7794
1002419,P00227842,M,26-35,0,B,3,1,2,5.0,,9825
1002910,P00100942,M,0-17,19,C,0,0,5,,,6942
1003611,P00323942,M,26-35,2,C,4+,0,8,15.0,,7788
1001422,P00153742,M,36-45,17,B,3,0,8,,,4007
1005888,P00254342,M,26-35,20,B,1,0,5,11.0,,3472
1003363,P00197042,F,36-45,9,B,2,1,5,,,7188
1004104,P00046742,M,18-25,16,C,1,0,1,2.0,15.0,15362
1001128,P00226842,M,26-35,1,A,2,0,11,,,1612
1001880,P00283542,M,36-45,0,B,3,1,5,,,3686
1000905,P00131042,F,46-50,12,C,1,0,8,,,8092
1005306,P00218242,F,26-35,17,B,4+,0,5,8.0,,3731
1004465,P00112842,M,18-25,4,A,1,1,8,17.0,,9825
1002087,P00226442,M,26-35,0,C,4+,0,11,15.0,,3012
1001525,P00128342,F,26-35,16,B,3,1,5,12.0,14.0,3478
1001894,P00321942,F,36-45,7,B,0,1,5,,,7106
1000272,P00010942,M,18-25,0,A,1,0,1,2.0,6.0,7661
1003251,P00245642,M,36-45,17,C,3,0,5,11.0,12.0,5416
1002288,P00017542,M,0-17,10,B,2,0,5,,,5159
1001112,P00088042,M,18-25,6,A,4+,0,1,2.0,,15249
1005827,P00070042,M,26-35,2,B,2,0,1,2.0,16.0,15619
1001943,P00303142,M,18-25,4,B,0,0,5,,,6909
1005480,P00303642,F,26-35,14,B,0,1,8,14.0,,2207
1002265,P00151842,M,55+,13,C,1,1,4,8.0,9.0,2798
1003539,P00024142,F,26-35,4,A,1,1,8,9.0,14.0,9846
1001912,P00085642,M,26-35,4,A,1,1,5,14.0,,6857
1004140,P00024042,M,26-35,0,B,4+,0,7,,,12387
1001741,P00191142,M,36-45,7,A,4+,1,4,15.0,,2856
